ETF,Omega
DRW,0.4084471441966649
TAO,0.4659431563768829
VNQI,0.4815464080720901
ROOF,0.528977095778717
IFEU,0.5437861669881503
WPS,0.5444171175602559
MRRL,0.5515320334261833
REM,0.5785910617937509
IFGL,0.594471278093641
KBWY,0.6729142394002323
GQRE,0.6809107408018473
MORL,0.6826056023428573
RWX,0.687870602713889
REK,0.706531388712745
DRV,0.7206855773808604
SRS,0.7309802200557978
MORT,0.7492198876638245
LRET,0.8454421355983639
DRN,0.8811397143075382
SRET,0.965563717231619
FFR,0.9857840477482385
RWO,1.0526687219106365
GRI,1.0990980705560027
VNQ,1.1361868449792094
REET,1.2132116004296483
URE,1.2370104939851558
WREI,1.2664339618962142
PRME,1.2823534001794705
FRI,1.3197735374292265
USRT,1.3519152911865446
ICF,1.3781760435571735
FREL,1.4621168305378858
RWR,1.5500976083548907
REZ,1.572523170609293
IYR,1.6073903002309502
SCHH,1.6620919387075324
PSR,1.7979710396254243
XLRE,1.8042432406427404
EWRE,1.8347008204922963
