Date,VNQ,VNQI,SCHH,IYR,XLRE,RWR,RWX,RWO,ICF,REET,REM,USRT,FREL,IFGL,MORL,KBWY,REZ,GQRE,WPS,MORT,SRET,URE,FRI,DRW,MRRL,ROOF,GRI,FFR,DRN,TAO,PSR,IFEU,EWRE,SRS,DRV,WREI,REK,LRET,PRME
2016/6/1,77.8,47.37,40,73.84,30.19,89.18,35.2,46.21,97.83,24.26,31.01,45.78,21.97,25.47,8.25,28.93,60.06,55.87,31.97,17.18,11.9,62,22.57,22.96,8.14,22.3,41.38,42.15,24.99,16.68,75.26,32.07,26.21,33.76,11.96,45.56,16.85,23.99,18
2016/7/1,81.84,49.73,41.93,77.23,31.42,93.84,36.76,48.47,101.78,25.58,32.97,47.22,23.05,26.93,8.47,31.55,61.62,58.25,33.68,17.53,12.38,66.7,23.68,24.59,8.4,24.15,43.69,44.58,28.17,18.33,79.03,34.31,27.03,31.23,10.5,47.94,16.2,25.71,19.09
2016/8/1,78.76,49.45,40.52,74.65,30.25,90.62,35.98,47.02,97.89,24.8,33.34,45.92,22.26,26.62,8.98,31.02,59.42,56.4,33.15,18.04,12.25,62.18,22.77,24.61,8.72,24.14,42.61,43.33,25,18.92,76.39,34.29,26.08,33.32,11.67,46.26,16.74,24.51,18.69
2016/9/1,76.79,49.67,39.49,72.93,29.7,88.04,35.72,46.08,95.56,24.29,32.63,45.17,21.83,26.63,9.13,29.84,58.81,55.83,33.3,18.16,12.16,59.98,22.26,24.66,9.01,23.33,41.89,42.75,23.29,19.63,75.48,33.62,25.59,33.96,12.07,45.02,16.93,23.81,18.59
2016/10/1,72.88,47.58,37.47,69.9,28.19,83.73,33.68,43.6,90.68,23,33.54,42.95,20.84,25.26,8.67,28.4,56.6,53.2,31.8,17.72,11.79,54.09,21.04,23.55,8.52,22.36,39.81,40.48,19.32,18.67,71.55,30.6,24.05,37.41,14.15,42.81,17.74,20.42,17.74
2016/11/1,71.66,45.73,36.96,68.26,27.34,82.6,32.68,42.73,88.65,22.35,34.01,42.49,20.4,24.42,9.38,30.4,53.91,52.02,30.75,18.37,11.56,51.45,20.7,22.75,9.23,23.04,38.63,39.55,18.15,18.14,70.47,29.24,23.71,38.75,14.61,42.19,18.06,20,16.95
2016/12/1,73.57,44.13,38.21,70.17,28.01,85.08,31.17,43.68,91.42,22.74,33.55,43.77,21.06,24.76,9.51,31.92,56.12,52.41,29.75,18.06,11.7,55.44,21.28,21.87,9.49,23.89,39.09,39.43,20.62,16.76,72.46,30.45,24.52,35.39,13.12,43.58,17.33,21.6,17.15
2017/1/1,74.96,47.13,38.32,71.25,28.49,85.7,33.96,43.77,92.69,22.75,34.7,44.37,21.31,25.01,9.27,31.99,56.33,53.39,31.41,18.69,12.09,55.73,21.56,23.48,9.21,23.65,40,40.94,20.43,18.23,73.44,30.27,24.72,35.19,12.51,44.09,17.3,21.54,17.65
2017/2/1,77.59,48.39,39.64,74.36,29.82,88.67,34.41,44.94,96.01,23.42,36.67,45.92,22.22,25.69,10.74,32.78,59.73,54.77,32.21,19.68,12.28,60.62,22.35,24.42,10.67,24.13,41.25,42.22,22.53,19.26,76.23,31.06,25.83,32.18,11.2,45.59,16.53,23,17.93
2017/3/1,75.16,49,38.43,72.59,29.31,85.53,34.41,43.9,93.09,22.86,36.86,44.45,21.71,25.63,11.38,32.57,58.38,54.78,32.39,20.28,12.52,58.77,21.64,25.27,11.32,23.64,40.82,41.45,20.77,20.45,74.82,31.22,25.42,33.01,11.96,43.68,16.74,21.98,17.69
2017/4/1,75.9,50.1,38.44,73.69,29.55,85.92,35.32,44.41,93.73,23.2,39.1,44.99,21.96,26.43,11.78,32.89,59.32,55.81,33.44,20.67,12.78,59.4,21.74,25.98,11.56,24.15,41.27,41.81,20.78,20.71,74.92,33.22,25.29,32.63,11.83,44.03,16.64,21.69,18.16
2017/5/1,75.35,51.92,38.22,73.61,29.74,85.38,36.2,44.75,94.09,23.21,38.53,44.63,21.91,27.2,11.75,31.72,60.17,56.67,34.52,20.8,12.74,59.11,21.54,27.03,11.63,23.75,41.73,42.23,20.24,22.01,75.46,34.97,25.31,32.65,12.03,43.62,16.65,21.44,18.19
2017/6/1,76.3,51.75,38.94,74.48,30.06,86.75,35.24,44.72,95.12,23.2,38.65,45.15,22.17,26.77,12.52,32.73,60.68,56.93,33.98,21.22,12.99,61.28,21.91,26.38,12.35,24.09,41.84,42.24,21.49,22.01,77.7,34.3,25.58,31.3,11.26,44.37,16.29,22.51,18.41
2017/7/1,77.98,54.13,39.51,75.98,30.68,88.25,36.75,45.89,96.8,23.89,39.53,46.18,22.66,27.82,12.05,33.28,61.28,58.85,35.41,21.04,13.23,62.7,22.28,28.56,11.97,24.76,42.85,43.4,22.12,23.99,77.32,36,26.15,30.5,10.79,44.93,16.1,22.66,18.67
2017/8/1,77.78,54.81,39.2,76.49,30.99,87.55,36.63,45.63,96.71,23.83,40.03,45.96,22.77,28.09,12.69,32.44,61.12,59.09,35.82,21.66,13.39,63.28,22.17,29.07,12.63,24.37,43.02,43.53,21.81,24.83,77.99,36.45,26.24,30.07,10.83,44.26,15.98,22.25,18.59
2017/9/1,76.9,54.92,39.1,75.25,30.35,87.05,35.84,45.16,95.39,23.55,39.82,45.61,22.42,27.7,13.18,33.52,59.83,59.13,35.32,22.05,13.45,62.22,22.08,29.24,13.01,24.34,42.31,43.28,21.62,25.97,76.8,36.25,25.84,30.54,10.8,44.18,16.16,22.74,18.58
2017/10/1,76.86,55.32,38.87,75.93,30.82,86.77,36.24,45.12,95.18,23.5,39.52,45.58,22.68,27.92,11.91,32.98,59.72,59.44,35.79,20.89,13.33,62.18,21.92,29.4,11.81,24.32,42.51,43.07,20.86,26.19,78.02,36.35,25.92,30.51,11.18,45.01,16.15,21.94,18.84
2017/11/1,78.91,56.09,40.08,77.87,31.72,89.49,37.12,46.46,97.78,24.17,39.68,46.77,23.3,28.66,12.37,32.98,60.41,60.45,36.66,21.38,13.58,65.26,22.53,30.07,12.49,24.56,43.61,44.17,22.47,25.81,80.11,37.32,27.09,28.99,10.33,45.51,15.69,23.19,19.17
2017/12/1,77.59,56.1,39.79,76.96,31.23,88.87,38.14,46.59,96.74,24.22,39.3,46.35,23.02,28.66,13.01,32.23,59.06,60.04,36.87,21.4,13.68,64.53,22.2,30.36,12.98,23.93,43.28,43.84,21.98,25.1,79.88,38.71,26.52,29.01,10.37,45.43,15.71,23.09,18.56
2018/1/1,75.44,61.05,38.5,75.43,30.97,85.85,39.83,46.61,93.67,24.1,37.76,44.73,22.52,29.98,10.75,30.66,56.35,61.19,39.08,20.34,13.53,60.89,21.45,32.74,10.64,23.34,43.16,43.75,19.29,29.92,76.13,40.14,26.11,30.68,11.72,43.28,16.22,20.64,19.44
