Date,VNQ,VNQI,SCHH,IYR,XLRE,RWR,RWX,RWO,ICF,REET,REM,USRT,FREL,IFGL,MORL,KBWY,REZ,GQRE,WPS,MORT,SRET,URE,FRI,DRW,MRRL,ROOF,GRI,FFR,DRN,TAO,PSR,IFEU,EWRE,SRS,DRV,WREI,REK,LRET,PRME
2016/5/16,71.98,46.66,37.12,68.78,28.11,82.99,35.21,44.23,90.77,23.08,30.62,42.81,20.41,25.42,7.55,26.4,56.89,54.09,31.71,16.45,11.18,53.16,20.84,22.4,7.5,21.1,38.82,40.22,19.43,15.6,69.69,34.3,23.94,39.77,15.66,42.18,18.33,20.58,17.8
2016/5/23,73.42,47.08,37.77,70.12,28.67,84.44,35.71,44.9,92.4,23.4,30.86,43.59,20.86,25.69,7.73,27.03,57.81,54.93,32.05,16.61,11.27,55.22,21.2,22.64,7.67,21.63,39.52,40.71,20.56,15.88,71.1,34.99,24.53,38.2,14.77,42.98,17.91,21.52,18.03
2016/5/30,74.15,47.87,37.98,70.77,28.8,85.01,36.03,45.26,92.96,23.68,31.34,43.81,21.07,26.05,7.92,27.7,57.62,55.39,32.6,16.86,11.36,56.25,21.41,23.1,7.87,21.93,39.81,41.27,21.18,16.3,71.67,35.18,24.57,37.5,14.34,43.75,17.74,21.64,18.18
2016/6/6,74.31,47.42,37.99,70.89,28.9,84.93,35.8,45.07,92.93,23.63,31.4,43.98,21.16,25.83,8.03,28.34,56.83,55.25,32.39,16.95,11.58,56.45,21.47,23.03,7.94,22.15,39.57,41.09,21.3,16.56,71.89,34.47,24.68,37.35,14.2,43.36,17.73,21.84,18.03
2016/6/13,75.14,46.35,38.52,71.35,28.91,85.44,34.92,44.77,94.27,23.77,31.04,44.38,21.06,25.4,7.84,27.94,57.8,55.26,31.73,16.73,11.56,57.09,21.69,22.63,7.8,22.05,39.69,40.92,22,16,72.26,33.79,24.68,36.87,13.7,44.19,17.61,22.52,17.88
2016/6/20,74.45,45.81,38.23,70.7,29.14,85.92,34.19,44.7,93.54,23.35,30.19,44,21.23,24.52,7.8,28.21,57.21,54.3,30.95,16.73,11.59,56.99,21.58,22.1,7.79,21.54,39.17,40.28,21.97,16.12,72.5,31.43,25.04,36.87,13.71,44.01,17.62,22.41,17.27
2016/6/27,78.52,47.89,40.26,74.46,30.42,90.02,35.52,46.59,98.51,24.57,31.79,46.31,22.14,25.84,8.27,29.41,60.59,57.08,32.46,16.89,11.93,62.2,22.7,23.45,8.16,22.7,41.08,42.67,25.06,17.04,76.26,32.83,26.26,33.72,11.92,45.82,16.85,24.48,18.23
2016/7/4,79.5,47.66,40.79,75.19,30.74,91.1,35.18,46.8,99.73,24.78,31.57,46.73,22.41,25.6,8.18,29.69,61.29,57.45,32.1,17.03,11.98,63.33,22.97,23.42,8.11,22.93,41.07,42.59,25.89,17.07,76.56,31.83,26.46,33.02,11.51,46.35,16.66,24.89,18.17
2016/7/11,79.77,48.36,40.94,75.64,30.97,91.52,35.72,47.19,99.73,24.88,31.92,46.69,22.5,26.01,7.95,30.26,60.92,57.76,32.6,17.24,12.12,63.97,23.05,23.93,7.9,23.4,41.49,43.02,26.16,17.52,77.19,32.8,26.59,32.65,11.36,46.72,16.57,24.98,18.43
2016/7/18,81.25,48.98,41.69,76.9,31.35,93.28,36.01,47.94,101.37,25.17,32.66,47.6,22.95,26.39,8.72,31.29,61.97,58.47,32.9,17.7,12.41,66.17,23.48,24.28,8.69,23.95,42.14,43.83,27.6,18.26,77.64,33.35,26.61,31.57,10.75,47.54,16.29,25.63,18.63
2016/7/25,81.84,49.73,41.93,77.23,31.42,93.84,36.76,48.47,101.78,25.58,32.97,47.68,23.05,26.93,8.83,31.73,61.62,58.98,33.68,17.82,12.46,66.7,23.68,24.59,8.76,24.15,42.77,44.58,28.17,18.33,79.03,34.68,27.03,31.23,10.5,47.94,16.2,25.95,19.09
2016/8/1,79.97,49.89,41.12,75.92,30.76,91.95,36.55,47.71,99.65,25.16,33.56,46.74,22.65,26.86,9.17,31.39,60.24,58.03,33.54,18.15,12.35,64.36,23.12,24.67,9.11,24.05,42.26,43.78,26.26,18.64,77.41,34.58,26.5,32.34,11.22,46.83,16.5,25.32,18.83
2016/8/8,79.88,50.43,41.01,75.66,30.7,91.67,36.65,47.68,99.54,25.15,33.56,46.69,22.6,27.01,9.1,31.65,60.51,57.99,33.78,18.14,12.42,63.99,23.08,25.01,9.08,24.02,42.42,43.82,26.1,18.94,77.25,34.85,26.47,32.49,11.24,47.15,16.53,25.25,18.85
